ti_uid	target	indication_mesh_id	indication_mesh_term	historical_max_phase	active_max_phase	combined_max_phase	succ_p_1	succ_1_2	succ_2_3	succ_3_a	succ	minikel_support	orphan	year_launch	target_status	indication_area	gpmap_support	eQTL_support	sQTL_support	mQTL_support	pQTL_support	n_supporting_trait_gpmap	supporting_trait_gpmap	supporting_trait_name_gpmap	supporting_tissue	n_supporting_tissue	gpmap_support_rare	gpmap_support_any	gpmap_support_coloc_pairs	Brain/nervous system	Blood cell	Kidney	Muscle Skeletal	Breast Mammary Tissue	Digestive	Adipose	Plasma	Skin	Testis	Lung	Thyroid	Spleen	Heart	Ovary	Pancreas	Liver	Prostate	Uterus	Pituitary	Vagina	Bladder	gene_id	distinct_trait_categories	distinct_protein_coding_genes	genescore_gene_cut	genescore_category_cut
ABCA1-D000544	ABCA1	D000544	Alzheimer Disease	""	Preclinical	Preclinical					FALSE	FALSE	FALSE		unsupported target	neurology, psychiatry	TRUE	TRUE	FALSE	FALSE		1	ebi-a-GCST90027158	Alzheimer's disease	Blood cell;Brain/nervous system	2	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	10996	4	3	(1,5]	(1,5]
ABCA1-D003920	ABCA1	D003920	Diabetes Mellitus	""	Preclinical	Preclinical					FALSE	FALSE	FALSE		unsupported target	metabolic, endocrine	TRUE	TRUE	FALSE	FALSE		1	ebi-a-GCST90025974	Hemoglobin A1c levels	Blood cell	1	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	10996	4	3	(1,5]	(1,5]
ABCA1-D003924	ABCA1	D003924	Diabetes Mellitus, Type 2	Preclinical	""	Preclinical	FALSE				FALSE	FALSE	FALSE		unsupported target	metabolic, endocrine	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	10996	4	3	(1,5]	(1,5]
ABCA1-D006333	ABCA1	D006333	Heart Failure	Preclinical	""	Preclinical	FALSE				FALSE	FALSE	FALSE		unsupported target	cardiovascular	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	10996	4	3	(1,5]	(1,5]
ABCA1-D006949	ABCA1	D006949	Hyperlipidemias	Phase I	""	Phase I	TRUE	FALSE			FALSE	TRUE	FALSE		genetically supported target	metabolic	TRUE	TRUE	TRUE	FALSE		42	ebi-a-GCST90018961;ebi-a-GCST90018975;ebi-a-GCST90025953;ebi-a-GCST90025955;ebi-a-GCST90025957;ebi-a-GCST90029021;ebi-a-GCST90092883;ebi-a-GCST000760;ukb-b-10912;ebi-a-GCST90092814;ebi-a-GCST90092980;ebi-a-GCST90092978;ebi-a-GCST90092939;ebi-a-GCST90013882;ebi-a-GCST90013932;ebi-a-GCST90092890;ebi-a-GCST90092944;ebi-a-GCST90092816;ebi-a-GCST90092880;ebi-a-GCST90092841;ebi-a-GCST90092854;ebi-a-GCST90092969;ebi-a-GCST90092866;ebi-a-GCST90092914;ebi-a-GCST90092931;ebi-a-GCST90092933;ebi-a-GCST90092987;ebi-a-GCST90093038;ebi-a-GCST90093014;ebi-a-GCST90092928;ebi-a-GCST90092839;ebi-a-GCST90014014;ebi-a-GCST90092971;ebi-a-GCST90092930;ebi-a-GCST90092852;ebi-a-GCST90092864;ebi-a-GCST90093037;ebi-a-GCST90092845;ebi-a-GCST90092991;ebi-a-GCST90092837;ebi-a-GCST90092947;ebi-a-GCST90092990	LDL cholesterol;Triglycerides;Total cholesterol levels;Apolipoprotein A1 levels;Triglyceride levels;High cholesterol;LDL cholesterol levels;Cholesterol, total;Non-cancer illness code, self-reported: high cholesterol;Clinical LDL cholesterol levels;Saturated fatty acid levels;Triglyceride levels in small VLDL;Polyunsaturated fatty acid levels;High cholesterol (Firth correction);High cholesterol (SPA correction);Triglyceride levels in LDL;Cholesterol levels in small HDL;Docosahexaenoic acid levels;Linoleic acid levels;Triglyceride levels in IDL;Triglyceride levels in large HDL;Cholesterol to total lipids ratio in small VLDL;Triglyceride levels in large LDL;Triglyceride levels in medium LDL;Omega-3 fatty acid levels;Omega-6 fatty acid levels;Total fatty acid levels;Triglyceride levels in very small VLDL;Triglyceride levels in very large HDL;Monounsaturated fatty acid levels;Phospholipid levels in IDL;Triglyceride levels (UKB data field 30870);Cholesteryl esters to total lipids ratio in small VLDL;Total cholesterol minus HDL-C levels;Phospholipid levels in large HDL;Phospholipid levels in large LDL;Phospholipids to total lipids ratio in very small VLDL;Cholesterol to total lipids ratio in large HDL;Total phospholipid levels in lipoprotein particles;Total lipid levels in IDL;Cholesteryl esters to total lipids ratio in small HDL;Total concentration of lipoprotein particles	Blood cell;Brain/nervous system;Kidney	3	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	10996	4	3	(1,5]	(1,5]
ABCA1-D008103	ABCA1	D008103	Liver Cirrhosis	""	Phase III	Phase III	TRUE	TRUE	TRUE		FALSE	FALSE	FALSE		unsupported target	digestive, signs/symptoms	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	10996	4	3	(1,5]	(1,5]
ABCA1-D009203	ABCA1	D009203	Myocardial Infarction	Preclinical	""	Preclinical	FALSE				FALSE	FALSE	FALSE		unsupported target	cardiovascular, signs/symptoms	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	10996	4	3	(1,5]	(1,5]
ABCA1-D020521	ABCA1	D020521	Stroke	Preclinical	""	Preclinical	FALSE				FALSE	FALSE	FALSE		unsupported target	neurology, cardiovascular	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	10996	4	3	(1,5]	(1,5]
ABCA1-D020961	ABCA1	D020961	Lewy Body Disease	""	Preclinical	Preclinical					FALSE	FALSE	FALSE		unsupported target	neurology, psychiatry	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	10996	4	3	(1,5]	(1,5]
ABCA1-D042882	ABCA1	D042882	Gallstones	Phase II	""	Phase II	TRUE	TRUE	FALSE		FALSE	FALSE	FALSE		unsupported target	digestive, signs/symptoms	FALSE	FALSE	FALSE	FALSE		0	""	""	""	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	10996	4	3	(1,5]	(1,5]
