trait_common,study_name_common,trait_rare,study_name_rare
Family relationship satisfaction,ukb-b-3666,Family relationship satisfaction - Extremely happy (4559),ukb-wes-bm-00002167
Felt distant from other people in past month,ukb-d-20496,Felt distant from other people in past month - Extremely (20496),ukb-wes-bm-00003245
Felt hated by family member as a child,ukb-d-20487,Felt hated by family member as a child - Very often true (20487),ukb-wes-bm-00001985
Felt irritable or had angry outbursts in past month,ukb-d-20494,Felt irritable or had angry outbursts in past month - Quite a bit (20494),ukb-wes-bm-00002783
Felt loved as a child,ukb-d-20489,Felt loved as a child - Very often true (20489),ukb-wes-bm-00003031
Felt very upset when reminded of stressful experience in past month,ukb-d-20498,Felt very upset when reminded of stressful experience in past month - Quite a bit (20498),ukb-wes-bm-00002270
Financial situation satisfaction,ukb-b-2830,Financial situation satisfaction - Extremely happy (4581),ukb-wes-bm-00001898
Fraction of day affected during worst episode of depression,ukb-d-20436,Fraction of day affected during worst episode of depression - All day long (20436),ukb-wes-bm-00002195
Fractured bone site(s): Ankle,ukb-b-15582,Fractured bone sites - Ankle (6151),ukb-wes-bm-00001825
Fractured bone site(s): Arm,ukb-b-19255,Fractured bone sites - Arm (6151),ukb-wes-bm-00003079
Fractured bone site(s): Leg,ukb-b-3798,Fractured bone sites - Leg (6151),ukb-wes-bm-00001783
Fractured bone site(s): Other bones,ukb-b-17738,Fractured bone sites - Other bones (6151),ukb-wes-bm-00002621
Fractured bone site(s): Spine,ukb-b-873,Fractured bone sites - Spine (6151),ukb-wes-bm-00003774
Fractured bone site(s): Wrist,ukb-b-9571,Fractured bone sites - Wrist (6151),ukb-wes-bm-00003747
Frequency of depressed days during worst episode of depression,ukb-d-20439,Frequency of depressed days during worst episode of depression - Almost every day (20439),ukb-wes-bm-00000878
Frequency of inability to stop worrying during worst period of anxiety,ukb-d-20539,Frequency of inability to stop worrying during worst period of anxiety - Often (20539),ukb-wes-bm-00003097
Frequency of tenseness / restlessness in last 2 weeks,ukb-b-5664,Frequency of tenseness restlessness in last 2 weeks - Nearly every day (2070),ukb-wes-bm-00001154
Frequency of tiredness / lethargy in last 2 weeks,ukb-b-929,Frequency of tiredness lethargy in last 2 weeks - Nearly every day (2080),ukb-wes-bm-00001216
Frequency of unenthusiasm / disinterest in last 2 weeks,ukb-b-1419,Frequency of unenthusiasm disinterest in last 2 weeks - Nearly every day (2060),ukb-wes-bm-00002072
Frequency of unusual or psychotic experiences in past year,ukb-d-20467,Frequency of unusual or psychotic experiences in past year - Once or twice (20467),ukb-wes-bm-00002436
Frequency of walking for pleasure in last 4 weeks,ukb-b-4655,Frequency of walking for pleasure in last 4 weeks - Every day (971),ukb-wes-bm-00000913
Frequent trouble falling or staying asleep during worst period of anxiety,ukb-d-20427,Frequent trouble falling or staying asleep during worst period of anxiety - Yes (20427),ukb-wes-bm-00002650
Friendships satisfaction,ukb-b-3304,Friendships satisfaction - Extremely happy (4570),ukb-wes-bm-00003393
General happiness,ukb-d-20458,General happiness - Extremely happy (20458),ukb-wes-bm-00003942
General happiness with own health,ukb-d-20459,General happiness with own health - Extremely happy (20459),ukb-wes-bm-00002544
General pain for 3+ months,ukb-d-2956,General pain for three months - Yes (2956),ukb-wes-bm-00001214
Getting up in morning,ukb-b-2772,Getting up in morning - Very easy (1170),ukb-wes-bm-00000308
Gonarthrosis [arthrosis of knee](FG),ukb-d-KNEE-ARTHROSIS,Gonarthrosis [arthrosis of knee] (union),ukb-wes-az-00008459
Handedness (chirality/laterality): Right-handed,ukb-d-1707-1,Handedness chirality laterality - Right handed (1707),ukb-wes-bm-00003728
"Heart failure,strict",ukb-d-I9-HEARTFAIL,Heart failure (union),ukb-wes-az-00007547
"Heel bone mineral density (BMD), manual entry",ukb-b-11364,Heel bone mineral density,ukb-wes-gb-00003759
Illnesses of father: Alzheimer's disease/dementia,ukb-b-323,Illnesses of father 10 Alzheimers disease dementia (20107),ukb-wes-bm-00002558
Illnesses of father: None of the above (group 1),ukb-b-15169,Illnesses of father neg 17 None of the above group 1 (20107),ukb-wes-bm-00002984
Illnesses of father: None of the above (group 2),ukb-b-10415,Illnesses of father neg 27 None of the above group 2 (20107),ukb-wes-bm-00001015
Illnesses of father: Parkinson's disease,ukb-b-956,Illnesses of father 11 Parkinsons disease (20107),ukb-wes-bm-00001736
Illnesses of father: Prostate cancer,ukb-b-7773,Illnesses of father 13 Prostate cancer (20107),ukb-wes-bm-00001541
Illnesses of father: Severe depression,ukb-b-5942,Illnesses of father 12 Severe depression (20107),ukb-wes-bm-00002561
Illnesses of mother: Alzheimer's disease/dementia,ukb-b-14699,Illnesses of mother - Alzheimers disease dementia (20110),ukb-wes-bm-00000369
Illnesses of mother: High blood pressure,ukb-b-18167,Illnesses of mother - blood pressure (20110),ukb-wes-bm-00000904
Illnesses of mother: Lung cancer,ukb-b-20176,Illnesses of mother - cancer (20110),ukb-wes-bm-00002863
Illnesses of mother: None of the above (group 1),ukb-b-10454,Illnesses of mother - None of the above group 1 (20110),ukb-wes-bm-00003340
Illnesses of mother: None of the above (group 2),ukb-b-16027,Illnesses of mother - None of the above group 2 (20110),ukb-wes-bm-00002880
Illnesses of mother: Parkinson's disease,ukb-b-6548,Illnesses of mother - Parkinsons disease (20110),ukb-wes-bm-00002849
Illnesses of siblings: Alzheimer's disease/dementia,ukb-b-14043,Illnesses of siblings 10 Alzheimers disease dementia (20111),ukb-wes-bm-00002833
Illnesses of siblings: None of the above (group 1),ukb-b-17360,Illnesses of siblings neg 17 None of the above group 1 (20111),ukb-wes-bm-00002029
Illnesses of siblings: None of the above (group 2),ukb-b-10783,Illnesses of siblings neg 27 None of the above group 2 (20111),ukb-wes-bm-00001115
Illnesses of siblings: Parkinson's disease,ukb-b-16943,Illnesses of siblings 11 Parkinsons disease (20111),ukb-wes-bm-00001993
Illnesses of siblings: Prostate cancer,ukb-b-16522,Illnesses of siblings 13 Prostate cancer (20111),ukb-wes-bm-00002882
Illnesses of siblings: Severe depression,ukb-b-14918,Illnesses of siblings 12 Severe depression (20111),ukb-wes-bm-00002844
Keyed up or on edge during worst period of anxiety,ukb-d-20423,Keyed up or on edge during worst period of anxiety - Yes (20423),ukb-wes-bm-00002134
Length of longest manic/irritable episode,ukb-b-7587,Length of longest manic irritable episode 13 A week or more (5663),ukb-wes-bm-00000992
Manic/hyper symptoms: All of the above,ukb-b-10002,Manic hyper symptoms 15 All of the above (6156),ukb-wes-bm-00003205
Manic/hyper symptoms: I needed less sleep than usual,ukb-b-11588,Manic hyper symptoms 13 I needed less sleep than usual (6156),ukb-wes-bm-00000374
Manic/hyper symptoms: I was more active than usual,ukb-b-11542,Manic hyper symptoms 11 I was more active than usual (6156),ukb-wes-bm-00002206
Manic/hyper symptoms: I was more creative or had more ideas than usual,ukb-b-13187,Manic hyper symptoms 14 I was more creative or had more ideas than usual (6156),ukb-wes-bm-00000973
Manic/hyper symptoms: I was more talkative than usual,ukb-b-8893,Manic hyper symptoms 12 I was more talkative than usual (6156),ukb-wes-bm-00003421
Manic/hyper symptoms: None of the above,ukb-b-256,Manic hyper symptoms neg - None of the above (6156),ukb-wes-bm-00003501
Mean platelet (thrombocyte) volume,ukb-d-30100-irnt,Mean platelet thrombocyte volume (30100),ukb-wes-bm-00002232
