trait	study_name	data_type	data_format	ancestry	sample_size	num_clumped	efoTraits	study_name_collapsed	top_num_clumped
CD14 on CD33dim HLA DR+ CD11b+	ebi-a-GCST90002021	phenotype	opengwas	EUR	1634	1	blood protein measurement	""	TRUE
CD4 on CD4+ T cell	ebi-a-GCST90002022	phenotype	opengwas	EUR	2912	5	blood protein measurement	""	TRUE
CD4 on Central Memory CD4+ T cell	ebi-a-GCST90002023	phenotype	opengwas	EUR	2912	4	blood protein measurement	""	TRUE
CD4 on naive CD4+ T cell	ebi-a-GCST90002024	phenotype	opengwas	EUR	2910	6	blood protein measurement	""	TRUE
CD4 on Effector Memory CD4+ T cell	ebi-a-GCST90002025	phenotype	opengwas	EUR	2912	3	blood protein measurement	""	TRUE
CD4 on Terminally Differentiated CD4+ T cell	ebi-a-GCST90002026	phenotype	opengwas	EUR	2903	0	blood protein measurement	""	TRUE
CD4 on CD45RA+ CD4+ T cell	ebi-a-GCST90002027	phenotype	opengwas	EUR	2911	3	blood protein measurement	""	TRUE
CD19 on B cell	ebi-a-GCST90002028	phenotype	opengwas	EUR	3112	1	blood protein measurement	""	TRUE
CD39 on CD39+ CD8+ T cell	ebi-a-GCST90002029	phenotype	opengwas	EUR	2915	3	blood protein measurement	""	TRUE
CD39 on CD39+ activated CD4 regulatory T cell	ebi-a-GCST90002030	phenotype	opengwas	EUR	2920	6	blood protein measurement	""	TRUE
CD39 on CD39+ secreting CD4 regulatory T cell	ebi-a-GCST90002031	phenotype	opengwas	EUR	2920	6	blood protein measurement	""	TRUE
CD39 on CD39+ CD4+ T cell	ebi-a-GCST90002032	phenotype	opengwas	EUR	2920	5	blood protein measurement	""	TRUE
CD39 on granulocyte	ebi-a-GCST90002033	phenotype	opengwas	EUR	2920	3	blood protein measurement	""	TRUE
CD39 on monocyte	ebi-a-GCST90002034	phenotype	opengwas	EUR	2909	2	blood protein measurement	""	TRUE
CD80 on myeloid Dendritic Cell	ebi-a-GCST90002035	phenotype	opengwas	EUR	2871	4	blood protein measurement	""	TRUE
CD80 on CD62L+ myeloid Dendritic Cell	ebi-a-GCST90002036	phenotype	opengwas	EUR	2871	3	blood protein measurement	""	TRUE
CD80 on plasmacytoid Dendritic Cell	ebi-a-GCST90002037	phenotype	opengwas	EUR	2871	2	blood protein measurement	""	TRUE
CD80 on CD62L+ plasmacytoid Dendritic Cell	ebi-a-GCST90002038	phenotype	opengwas	EUR	2871	2	blood protein measurement	""	TRUE
CD80 on monocyte	ebi-a-GCST90002039	phenotype	opengwas	EUR	2850	6	blood protein measurement	""	TRUE
CD80 on granulocyte	ebi-a-GCST90002040	phenotype	opengwas	EUR	2850	3	blood protein measurement	""	TRUE
CD45 on CD33+ HLA DR+ CD14-	ebi-a-GCST90002042	phenotype	opengwas	EUR	1579	1	blood protein measurement	""	TRUE
CD45 on CD33+ HLA DR+ CD14dim	ebi-a-GCST90002043	phenotype	opengwas	EUR	1578	0	blood protein measurement	""	TRUE
CD45 on CD33dim HLA DR+ CD11b-	ebi-a-GCST90002044	phenotype	opengwas	EUR	1635	0	blood protein measurement	""	TRUE
CD45 on CD33- HLA DR-	ebi-a-GCST90002045	phenotype	opengwas	EUR	1635	2	blood protein measurement	""	TRUE
CD45 on CD33- HLA DR+	ebi-a-GCST90002046	phenotype	opengwas	EUR	1635	2	blood protein measurement	""	TRUE
CD45 on Granulocytic Myeloid-Derived Suppressor Cells	ebi-a-GCST90002047	phenotype	opengwas	EUR	1244	0	blood protein measurement	""	TRUE
CD45 on CD66b++ myelod cell	ebi-a-GCST90002048	phenotype	opengwas	EUR	1465	0	blood protein measurement	""	TRUE
CD45 on Monocytic Myeloid-Derived Suppressor Cells	ebi-a-GCST90002049	phenotype	opengwas	EUR	1570	0	blood protein measurement	""	TRUE
CD45 on CD33dim HLA DR-	ebi-a-GCST90002050	phenotype	opengwas	EUR	1559	0	blood protein measurement	""	TRUE
CD45 on basophil	ebi-a-GCST90002051	phenotype	opengwas	EUR	1556	0	blood protein measurement	""	TRUE
CD45 on Immature Myeloid-Derived Suppressor Cells	ebi-a-GCST90002052	phenotype	opengwas	EUR	1555	2	blood protein measurement	""	TRUE
CD45 on CD33+ HLA DR+	ebi-a-GCST90002053	phenotype	opengwas	EUR	1580	0	blood protein measurement	""	TRUE
CD8 on Central Memory CD8+ T cell	ebi-a-GCST90002054	phenotype	opengwas	EUR	2910	4	blood protein measurement	""	TRUE
CD8 on naive CD8+ T cell	ebi-a-GCST90002055	phenotype	opengwas	EUR	2910	3	blood protein measurement	""	TRUE
CD8 on Effector Memory CD8+ T cell	ebi-a-GCST90002056	phenotype	opengwas	EUR	2912	4	blood protein measurement	""	TRUE
CD8 on Terminally Differentiated CD8+ T cell	ebi-a-GCST90002057	phenotype	opengwas	EUR	2911	2	blood protein measurement	""	TRUE
CD8 on CD8+ T cell	ebi-a-GCST90002058	phenotype	opengwas	EUR	3113	3	blood protein measurement	""	TRUE
CD8 on Natural Killer T	ebi-a-GCST90002059	phenotype	opengwas	EUR	3103	2	blood protein measurement	""	TRUE
CD8 on HLA DR+ CD8+ T cell	ebi-a-GCST90002060	phenotype	opengwas	EUR	3060	2	blood protein measurement	""	TRUE
CD4 on CD39+ CD4+ T cell	ebi-a-GCST90002061	phenotype	opengwas	EUR	2920	9	blood protein measurement	""	TRUE
CD4 on CD28+ CD4+ T cell	ebi-a-GCST90002062	phenotype	opengwas	EUR	2920	2	blood protein measurement	""	TRUE
CD4 on CD4 regulatory T cell	ebi-a-GCST90002063	phenotype	opengwas	EUR	2920	2	blood protein measurement	""	TRUE
CD4 on resting CD4 regulatory T cell	ebi-a-GCST90002064	phenotype	opengwas	EUR	2919	1	blood protein measurement	""	TRUE
CD4 on CD39+ resting CD4 regulatory T cell	ebi-a-GCST90002065	phenotype	opengwas	EUR	2650	1	blood protein measurement	""	TRUE
CD4 on activated CD4 regulatory T cell	ebi-a-GCST90002066	phenotype	opengwas	EUR	2920	4	blood protein measurement	""	TRUE
CD4 on CD39+ activated CD4 regulatory T cell	ebi-a-GCST90002067	phenotype	opengwas	EUR	2920	4	blood protein measurement	""	TRUE
CD4 on secreting CD4 regulatory T cell	ebi-a-GCST90002068	phenotype	opengwas	EUR	2920	1	blood protein measurement	""	TRUE
CD4 on CD39+ secreting CD4 regulatory T cell	ebi-a-GCST90002069	phenotype	opengwas	EUR	2920	3	blood protein measurement	""	TRUE
CD4 on activated & secreting CD4 regulatory T cell	ebi-a-GCST90002070	phenotype	opengwas	EUR	2920	3	blood protein measurement	""	TRUE
SSC-A on myeloid Dendritic Cell	ebi-a-GCST90002071	phenotype	opengwas	EUR	2872	8	blood protein measurement	""	TRUE
SSC-A on plasmacytoid Dendritic Cell	ebi-a-GCST90002072	phenotype	opengwas	EUR	2872	5	blood protein measurement	""	TRUE
SSC-A on monocyte	ebi-a-GCST90002073	phenotype	opengwas	EUR	2850	9	blood protein measurement	""	TRUE
SSC-A on CD14+ monocyte	ebi-a-GCST90002074	phenotype	opengwas	EUR	3112	6	blood protein measurement	""	TRUE
SSC-A on B cell	ebi-a-GCST90002075	phenotype	opengwas	EUR	3112	0	blood protein measurement	""	TRUE
SSC-A on Natural Killer	ebi-a-GCST90002076	phenotype	opengwas	EUR	3113	1	blood protein measurement	""	TRUE
SSC-A on HLA DR+ Natural Killer	ebi-a-GCST90002077	phenotype	opengwas	EUR	2971	3	blood protein measurement	""	TRUE
SSC-A on granulocyte	ebi-a-GCST90002078	phenotype	opengwas	EUR	3112	4	blood protein measurement	""	TRUE
SSC-A on lymphocyte	ebi-a-GCST90002079	phenotype	opengwas	EUR	3113	1	blood protein measurement	""	TRUE
SSC-A on T cell	ebi-a-GCST90002080	phenotype	opengwas	EUR	3113	1	blood protein measurement	""	TRUE
SSC-A on CD4+ T cell	ebi-a-GCST90002081	phenotype	opengwas	EUR	3113	4	blood protein measurement	""	TRUE
SSC-A on CD8+ T cell	ebi-a-GCST90002082	phenotype	opengwas	EUR	3113	0	blood protein measurement	""	TRUE
SSC-A on HLA DR+ T cell	ebi-a-GCST90002083	phenotype	opengwas	EUR	3060	1	blood protein measurement	""	TRUE
SSC-A on Natural Killer T	ebi-a-GCST90002084	phenotype	opengwas	EUR	3113	2	blood protein measurement	""	TRUE
SSC-A on HLA DR+ CD4+ T cell	ebi-a-GCST90002085	phenotype	opengwas	EUR	3060	0	blood protein measurement	""	TRUE
SSC-A on HLA DR+ CD8+ T cell	ebi-a-GCST90002086	phenotype	opengwas	EUR	3060	0	blood protein measurement	""	TRUE
CD11c on myeloid Dendritic Cell	ebi-a-GCST90002087	phenotype	opengwas	EUR	2872	5	blood protein measurement	""	TRUE
CD11c on CD62L+ myeloid Dendritic Cell	ebi-a-GCST90002088	phenotype	opengwas	EUR	2872	2	blood protein measurement	""	TRUE
CD11c on monocyte	ebi-a-GCST90002089	phenotype	opengwas	EUR	2850	3	blood protein measurement	""	TRUE
CD11c on granulocyte	ebi-a-GCST90002090	phenotype	opengwas	EUR	2850	4	blood protein measurement	""	TRUE
CD11b on CD14+ monocyte	ebi-a-GCST90002091	phenotype	opengwas	EUR	1635	1	blood protein measurement	""	TRUE
CD11b on Granulocytic Myeloid-Derived Suppressor Cells	ebi-a-GCST90002092	phenotype	opengwas	EUR	1244	0	blood protein measurement	""	TRUE
CD11b on CD66b++ myeloid cell	ebi-a-GCST90002093	phenotype	opengwas	EUR	1465	0	blood protein measurement	""	TRUE
CD11b on Monocytic Myeloid-Derived Suppressor Cells	ebi-a-GCST90002094	phenotype	opengwas	EUR	1570	1	blood protein measurement	""	TRUE
CD11b on CD33dim HLA DR-	ebi-a-GCST90002095	phenotype	opengwas	EUR	1559	1	blood protein measurement	""	TRUE
CD11b on basophil	ebi-a-GCST90002096	phenotype	opengwas	EUR	1556	1	blood protein measurement	""	TRUE
CD11b on CD33+ HLA DR+ CD14dim	ebi-a-GCST90002097	phenotype	opengwas	EUR	1578	1	blood protein measurement	""	TRUE
CD45RA on naive CD4+ T cell	ebi-a-GCST90002098	phenotype	opengwas	EUR	2910	11	blood protein measurement	""	TRUE
CD4RA on Terminally Differentiated CD4+ T cell	ebi-a-GCST90002099	phenotype	opengwas	EUR	2903	3	blood protein measurement	""	TRUE
CD45RA on naive CD8+ T cell	ebi-a-GCST90002100	phenotype	opengwas	EUR	2910	2	blood protein measurement	""	TRUE
CD45RA on Terminally Differentiated CD8+ T cell	ebi-a-GCST90002101	phenotype	opengwas	EUR	2911	2	blood protein measurement	""	TRUE
CD45RA on resting CD4 regulatory T cell	ebi-a-GCST90002102	phenotype	opengwas	EUR	2919	7	blood protein measurement	""	TRUE
CD45RA on CD39+ resting CD4 regulatory T cell	ebi-a-GCST90002103	phenotype	opengwas	EUR	2650	1	blood protein measurement	""	TRUE
HLA DR on myeloid Dendritic Cell	ebi-a-GCST90002104	phenotype	opengwas	EUR	2872	8	blood protein measurement	""	TRUE
HLA DR on plasmacytoid Dendritic Cell	ebi-a-GCST90002105	phenotype	opengwas	EUR	2872	9	blood protein measurement	""	TRUE
HLA DR on Dendritic Cell	ebi-a-GCST90002106	phenotype	opengwas	EUR	2871	7	blood protein measurement	""	TRUE
HLA DR on Hematopoietic Stem Cell	ebi-a-GCST90002107	phenotype	opengwas	EUR	1634	0	blood protein measurement	""	TRUE
HLA DR on CD33+ HLA DR+ CD14-	ebi-a-GCST90002108	phenotype	opengwas	EUR	1579	4	blood protein measurement	""	TRUE
HLA DR on CD33+ HLA DR+ CD14dim	ebi-a-GCST90002109	phenotype	opengwas	EUR	1578	4	blood protein measurement	""	TRUE
HLA DR on CD33dim HLA DR+ CD11b+	ebi-a-GCST90002110	phenotype	opengwas	EUR	1634	5	blood protein measurement	""	TRUE
HLA DR on CD33dim HLA DR+ CD11b-	ebi-a-GCST90002111	phenotype	opengwas	EUR	1635	5	blood protein measurement	""	TRUE
HLA DR on CD33- HLA DR+	ebi-a-GCST90002112	phenotype	opengwas	EUR	1635	3	blood protein measurement	""	TRUE
HLA DR on HLA DR+ T cell	ebi-a-GCST90002113	phenotype	opengwas	EUR	3060	1	blood protein measurement	""	TRUE
HLA DR on HLA DR+ CD4+ T cell	ebi-a-GCST90002114	phenotype	opengwas	EUR	3060	1	blood protein measurement	""	TRUE
HLA DR on HLA DR+ CD8+ T cell	ebi-a-GCST90002115	phenotype	opengwas	EUR	3060	0	blood protein measurement	""	TRUE
HLA DR on B cell	ebi-a-GCST90002116	phenotype	opengwas	EUR	3060	9	blood protein measurement	""	TRUE
HLA DR on HLA DR+ Natural Killer	ebi-a-GCST90002117	phenotype	opengwas	EUR	2971	6	blood protein measurement	""	TRUE
CD8 on CD28+ CD45RA- CD8+ T cell	ebi-a-GCST90002118	phenotype	opengwas	EUR	2920	3	blood protein measurement	""	TRUE
CD8 on CD28+ CD45RA+ CD8+ T cell	ebi-a-GCST90002119	phenotype	opengwas	EUR	2920	8	blood protein measurement	""	TRUE
CD8 on CD28- CD8+ T cell	ebi-a-GCST90002120	phenotype	opengwas	EUR	2920	3	blood protein measurement	""	TRUE
CD8 on CD39+ CD8+ T cell	ebi-a-GCST90002121	phenotype	opengwas	EUR	2915	5	blood protein measurement	""	TRUE
Two-hour glucose	ebi-a-GCST90002227	phenotype	opengwas	EUR	63396	14	glucose tolerance test	""	TRUE
Fasting glucose	ebi-a-GCST90002232	phenotype	opengwas	EUR	200622	66	glucose measurement	""	TRUE
Fasting insulin	ebi-a-GCST90002238	phenotype	opengwas	EUR	151013	38	insulin measurement	""	TRUE
Stool frequency	ebi-a-GCST90002250	phenotype	opengwas	EUR	167875	13	bowel opening frequency	""	TRUE
Basophil count	ebi-a-GCST90002292	phenotype	opengwas	EUR	474001	207	basophil count	ebi-a-GCST90002379,ebi-a-GCST90013986,ebi-a-GCST90018946,ebi-a-GCST90025997	TRUE
Lymphocyte count	ebi-a-GCST90002316	phenotype	opengwas	EUR	524923	519	lymphocyte count	ebi-a-GCST90002388,ebi-a-GCST90018962,ebi-a-GCST90025984	TRUE
Hemoglobin	ebi-a-GCST90002384	phenotype	opengwas	EUR	408112	413	hemoglobin measurement	ebi-a-GCST90018957	TRUE
Mean reticulocyte volume	ebi-a-GCST90025975	phenotype	opengwas	EUR	436944	362	mean reticulocyte volume	ebi-a-GCST90002396	FALSE
Mean spheric corpuscular volume	ebi-a-GCST90002397	phenotype	opengwas	EUR	408112	544	mean corpuscular volume	""	TRUE
Childhood body mass index	ebi-a-GCST90002409	phenotype	opengwas	EUR	39620	17	body mass index	""	TRUE
Low density lipoprotein cholesterol levels	ebi-a-GCST90002412	phenotype	opengwas	EUR	431167	359	low density lipoprotein cholesterol measurement	""	TRUE
Anti-BK polyomavirus IgG seropositivity	ebi-a-GCST90006884	phenotype	opengwas	EUR	8735	0	BK polyomavirus seropositivity	""	TRUE
BK polyomavirus VP1 antibody levels	ebi-a-GCST90006885	phenotype	opengwas	EUR	8555	1	anti-BK polyomavirus antibody measurement	""	TRUE
Anti-chlamydia trachomatis IgG seropositivity	ebi-a-GCST90006886	phenotype	opengwas	EUR	8735	1	Chlamydia trachomatis seropositivity	""	TRUE
Chlamydia trachomatis momp A antibody levels	ebi-a-GCST90006887	phenotype	opengwas	EUR	964	0	anti-chlamydia trachomatis antibody measurement	""	TRUE
Chlamydia trachomatis momp D antibody levels	ebi-a-GCST90006888	phenotype	opengwas	EUR	1371	11	anti-chlamydia trachomatis antibody measurement	""	TRUE
Chlamydia trachomatis pGP3 antibody levels	ebi-a-GCST90006889	phenotype	opengwas	EUR	1784	0	anti-chlamydia trachomatis antibody measurement	""	TRUE
Chlamydia trachomatis PorB antibody levels	ebi-a-GCST90006890	phenotype	opengwas	EUR	273	1	anti-chlamydia trachomatis antibody measurement	""	TRUE
Chlamydia trachomatis tarp-D F1 antibody levels	ebi-a-GCST90006891	phenotype	opengwas	EUR	1635	0	anti-chlamydia trachomatis antibody measurement	""	TRUE
Chlamydia trachomatis tarp-D F2 antibody levels	ebi-a-GCST90006892	phenotype	opengwas	EUR	2074	0	anti-chlamydia trachomatis antibody measurement	""	TRUE
Anti-cytomegalovirus IgG seropositivity	ebi-a-GCST90006893	phenotype	opengwas	EUR	8735	0	cytomegalovirus seropositivity	""	TRUE
Cytomegalovirus pp28 antibody levels	ebi-a-GCST90006894	phenotype	opengwas	EUR	5087	1	Anti-cytomegalovirus IgG measurement	""	TRUE
Cytomegalovirus pp52 antibody levels	ebi-a-GCST90006895	phenotype	opengwas	EUR	5681	0	Anti-cytomegalovirus IgG measurement	""	TRUE
Cytomegalovirus pp150 antibody levels	ebi-a-GCST90006896	phenotype	opengwas	EUR	5136	0	Anti-cytomegalovirus IgG measurement	""	TRUE
Anti-Epstein-Barr virus IgG seropositivity	ebi-a-GCST90006897	phenotype	opengwas	EUR	8735	1	Epstein-Barr virus seropositivity	""	TRUE
Epstein-Barr virus EA-D antibody levels	ebi-a-GCST90006898	phenotype	opengwas	EUR	7763	5	anti-Epstein Barr virus antibody measurement	""	TRUE
Epstein-Barr virus EBNA-1 antibody levels	ebi-a-GCST90006899	phenotype	opengwas	EUR	7972	6	anti-Epstein Barr virus antibody measurement	""	TRUE
Epstein-Barr virus VCA p18 antibody levels	ebi-a-GCST90006900	phenotype	opengwas	EUR	8518	4	anti-Epstein Barr virus antibody measurement	""	TRUE
Epstein-Barr virus ZEBRA antibody levels	ebi-a-GCST90006901	phenotype	opengwas	EUR	8191	3	anti-Epstein Barr virus antibody measurement	""	TRUE
Anti-human herpes<U+00A0>virus<U+00A0>6 IgG<U+00A0>seropositivity	ebi-a-GCST90006902	phenotype	opengwas	EUR	8735	0	human herpesvirus 6 seropositivity	""	TRUE
Anti-human herpes<U+00A0>virus<U+00A0>6<U+00A0>IE1A IgG<U+00A0>seropositivity	ebi-a-GCST90006903	phenotype	opengwas	EUR	8735	0	human herpesvirus 6 seropositivity	""	TRUE
Human herpes virus<U+00A0>6 IE1A<U+00A0>antibody<U+00A0>levels	ebi-a-GCST90006904	phenotype	opengwas	EUR	6968	2	anti-human herpes virus 6 antibody measurement	""	TRUE
Anti-human herpes<U+00A0>virus<U+00A0>6<U+00A0>IE1B IgG<U+00A0>seropositivity	ebi-a-GCST90006905	phenotype	opengwas	EUR	8735	0	human herpesvirus 6 seropositivity	""	TRUE
Human herpes<U+00A0>virus<U+00A0>6 IE1B<U+00A0>antibody<U+00A0>levels	ebi-a-GCST90006906	phenotype	opengwas	EUR	7119	1	anti-human herpes virus 6 antibody measurement	""	TRUE
Human herpes<U+00A0>virus<U+00A0>6 p101k<U+00A0>antibody<U+00A0>levels	ebi-a-GCST90006907	phenotype	opengwas	EUR	1951	0	anti-human herpes virus 6 antibody measurement	""	TRUE
Anti-human herpes<U+00A0>virus<U+00A0>7 IgG<U+00A0>seropositivity<U+00A0>	ebi-a-GCST90006908	phenotype	opengwas	EUR	8735	0	human herpesvirus 7 seropositivity	""	TRUE
Human herpes<U+00A0>virus<U+00A0>7 U14<U+00A0>antibody<U+00A0>levels	ebi-a-GCST90006909	phenotype	opengwas	EUR	8528	3	anti-human herpes virus 7 antibody measurement	""	TRUE
Anti-helicobacter pylori IgG seropositivity	ebi-a-GCST90006910	phenotype	opengwas	EUR	8735	0	Helicobacter pylori seropositivity	""	TRUE
Helicobacter pylori CagA antibody levels	ebi-a-GCST90006911	phenotype	opengwas	EUR	985	0	Anti-Helicobacter pylori IgG measurement	""	TRUE
Helicobacter pylori Catalase antibody levels	ebi-a-GCST90006912	phenotype	opengwas	EUR	1558	0	Anti-Helicobacter pylori IgG measurement	""	TRUE
Helicobacter pylori GroEL antibody levels	ebi-a-GCST90006913	phenotype	opengwas	EUR	2716	0	Anti-Helicobacter pylori IgG measurement	""	TRUE
Helicobacter pylori OMP antibody levels	ebi-a-GCST90006914	phenotype	opengwas	EUR	2640	1	Anti-Helicobacter pylori IgG measurement	""	TRUE
Helicobacter pylori UREA antibody levels	ebi-a-GCST90006915	phenotype	opengwas	EUR	2251	1	Anti-Helicobacter pylori IgG measurement	""	TRUE
Helicobacter pylori VacA antibody levels	ebi-a-GCST90006916	phenotype	opengwas	EUR	1571	0	Anti-Helicobacter pylori IgG measurement	""	TRUE
Anti-herpes simplex virus 1 IgG seropositivity	ebi-a-GCST90006917	phenotype	opengwas	EUR	8735	0	herpes virus seropositivity	""	TRUE
Herpes simplex virus 1 mgG-1 antibody levels	ebi-a-GCST90006918	phenotype	opengwas	EUR	6199	0	Anti-herpes simplex virus 1 IgG measurement	""	TRUE
Anti-herpes simplex virus 2 IgG seropositivity	ebi-a-GCST90006919	phenotype	opengwas	EUR	8735	1	Herpes simplex virus 2 seropositivity	""	TRUE
Herpes simplex virus 2 mgG-1 antibody levels	ebi-a-GCST90006920	phenotype	opengwas	EUR	1382	0	Anti-herpes simplex virus 2 IgG measurement	""	TRUE
Anti-polyomavirus 2 IgG seropositivity	ebi-a-GCST90006921	phenotype	opengwas	EUR	8735	2	polyomavirus 2 seropositivity	""	TRUE
Polyomavirus 2  JC VP1 antibody levels	ebi-a-GCST90006922	phenotype	opengwas	EUR	5118	3	anti-polyomavirus 2 antibody measurement	""	TRUE
Anti-Merkel cell polyomavirus IgG seropositivity	ebi-a-GCST90006923	phenotype	opengwas	EUR	8735	3	merkel cell virus seropositivity	""	TRUE
Merkel cell polyomavirus VP1 antibody levels	ebi-a-GCST90006924	phenotype	opengwas	EUR	5915	3	anti-merkel cell virus antibody measurement	""	TRUE
Anti-Toxoplasma gondii IgG seropositivity	ebi-a-GCST90006925	phenotype	opengwas	EUR	8735	0	Toxoplasma gondii seropositivity	""	TRUE
Toxoplasma gondii p22 antibody levels	ebi-a-GCST90006926	phenotype	opengwas	EUR	1308	0	Anti-Toxoplasma gondii IgG measurement	""	TRUE
Toxoplasma gondii sag1 antibody levels	ebi-a-GCST90006927	phenotype	opengwas	EUR	3919	2	Anti-Toxoplasma gondii IgG measurement	""	TRUE
Anti-varicella zoster virus IgG seropositivity	ebi-a-GCST90006928	phenotype	opengwas	EUR	8735	1	Varicella zoster virus seropositivity	""	TRUE
Varicella zoster virus glycoproteins E and I antibody levels	ebi-a-GCST90006929	phenotype	opengwas	EUR	7595	4	Anti-varicella zoster virus IgG measurement	""	TRUE
Low hand grip strength (60 years and older) (EWGSOP)	ebi-a-GCST90007526	phenotype	opengwas	EUR	256523	17	grip strength measurement	ebi-a-GCST90007527,ebi-a-GCST90007528	TRUE
Low hand grip strength (60 years and older) (FNIH)	ebi-a-GCST90007529	phenotype	opengwas	EUR	256523	5	grip strength measurement	ebi-a-GCST90007530,ebi-a-GCST90007531	TRUE
Angiotensin-converting enzyme 2 levels	ebi-a-GCST90010102	phenotype	opengwas	EUR	1301	0	blood protein measurement	""	TRUE
A disintegrin and metalloproteinase with thrombospondin motifs 13 levels	ebi-a-GCST90010103	phenotype	opengwas	EUR	1301	4	blood protein measurement	""	TRUE
Agouti-related protein levels	ebi-a-GCST90012063	phenotype	opengwas	EUR	21758	4	Agouti-related protein measurement	ebi-a-GCST90010104	TRUE
Protein AMBP levels	ebi-a-GCST90010105	phenotype	opengwas	EUR	1301	5	blood protein measurement	""	TRUE
Angiopoietin-1 levels	ebi-a-GCST90010106	phenotype	opengwas	EUR	1301	1	blood protein measurement	""	TRUE
Bone morphogenetic protein 6 levels	ebi-a-GCST90010107	phenotype	opengwas	EUR	1214	2	blood protein measurement	""	TRUE
Brother of CDO levels	ebi-a-GCST90010108	phenotype	opengwas	EUR	1301	0	blood protein measurement	""	TRUE
Carbonic anhydrase 5A,mitochondrial levels	ebi-a-GCST90010109	phenotype	opengwas	EUR	1263	1	blood protein measurement	""	TRUE
C-C motif chemokine 17 levels	ebi-a-GCST90010110	phenotype	opengwas	EUR	1301	2	blood protein measurement	""	TRUE
C-C motif chemokine 3 levels	ebi-a-GCST90012055	phenotype	opengwas	EUR	21758	7	C-C motif chemokine 3 measurement	ebi-a-GCST90010111	TRUE
T-cell surface glycoprotein CD4 levels	ebi-a-GCST90010112	phenotype	opengwas	EUR	1301	1	blood protein measurement	""	TRUE
CD40 ligand levels	ebi-a-GCST90011997	phenotype	opengwas	EUR	21758	0	CD40 ligand measurement	ebi-a-GCST90010113	FALSE
SLAM family member 5 levels	ebi-a-GCST90010114	phenotype	opengwas	EUR	1301	0	blood protein measurement	""	TRUE
Carcinoembryonic antigenrelated cell adhesion molecule 8 levels	ebi-a-GCST90010115	phenotype	opengwas	EUR	1301	0	blood protein measurement	""	TRUE
Chymotrypsin C levels	ebi-a-GCST90010116	phenotype	opengwas	EUR	1301	2	blood protein measurement	""	TRUE
Cathepsin L1 levels	ebi-a-GCST90012073	phenotype	opengwas	EUR	21758	11	cathepsin L1 measurement	ebi-a-GCST90010117	TRUE
C-X-C motif chemokine 1 levels	ebi-a-GCST90012019	phenotype	opengwas	EUR	21758	2	chemokine (C-X-C motif) ligand 1 measurement	ebi-a-GCST90010118	TRUE
Decorin levels	ebi-a-GCST90010119	phenotype	opengwas	EUR	1301	0	blood protein measurement	""	TRUE
2,4-dienoyl-CoA reductase,mitochondrial levels	ebi-a-GCST90010120	phenotype	opengwas	EUR	1296	0	blood protein measurement	""	TRUE
Dickkopf-related protein 1 levels	ebi-a-GCST90012060	phenotype	opengwas	EUR	21758	9	dickkopf‐related protein 1 measurement	ebi-a-GCST90010121	TRUE
Fatty acid-binding protein,intestinal levels	ebi-a-GCST90010122	phenotype	opengwas	EUR	1301	1	blood protein measurement	""	TRUE
Follistatin levels	ebi-a-GCST90012080	phenotype	opengwas	EUR	21758	5	follistatin measurement	ebi-a-GCST90010125	TRUE
Galectin-9 levels	ebi-a-GCST90010126	phenotype	opengwas	EUR	1301	2	blood protein measurement	""	TRUE
Growth/differentiation factor 2 levels	ebi-a-GCST90010127	phenotype	opengwas	EUR	1301	0	blood protein measurement	""	TRUE
Growth hormone levels	ebi-a-GCST90012032	phenotype	opengwas	EUR	21758	0	growth hormone measurement	ebi-a-GCST90010128	FALSE
Gastric intrinsic factor levels	ebi-a-GCST90010129	phenotype	opengwas	EUR	1299	1	blood protein measurement	""	TRUE
Lactoylglutathione lyase levels	ebi-a-GCST90010130	phenotype	opengwas	EUR	1301	1	blood protein measurement	""	TRUE
Gastrotropin levels	ebi-a-GCST90010131	phenotype	opengwas	EUR	1047	0	blood protein measurement	""	TRUE
Hydroxyacid oxidase 1 levels	ebi-a-GCST90010132	phenotype	opengwas	EUR	1301	0	blood protein measurement	""	TRUE
Proheparin-binding EGF-like growth factor levels	ebi-a-GCST90012067	phenotype	opengwas	EUR	21758	6	proheparin-binding EGF-like growth factor measurement	ebi-a-GCST90010133	TRUE
Heme oxygenase 1 levels	ebi-a-GCST90010134	phenotype	opengwas	EUR	1301	1	blood protein measurement	""	TRUE
Osteoclast-associated immunoglobulin-like receptor levels	ebi-a-GCST90010135	phenotype	opengwas	EUR	1301	4	blood protein measurement	""	TRUE
Heat shock 27 kDa protein levels	ebi-a-GCST90012028	phenotype	opengwas	EUR	21758	3	heat shock 27 kDa protein measurement	ebi-a-GCST90010136	TRUE
Alpha-L-iduronidase levels	ebi-a-GCST90010137	phenotype	opengwas	EUR	1301	0	blood protein measurement	""	TRUE
Low affinity immunoglobulin gamma Fc region receptor II-b levels	ebi-a-GCST90010138	phenotype	opengwas	EUR	1295	5	blood protein measurement	""	TRUE
Pro-interleukin-16 levels	ebi-a-GCST90012049	phenotype	opengwas	EUR	21758	6	pro‐interleukin‐16 measurement	ebi-a-GCST90010139	TRUE
Interleukin-17D levels	ebi-a-GCST90010140	phenotype	opengwas	EUR	1299	1	blood protein measurement	""	TRUE
Interleukin-1 receptor-like 2 levels	ebi-a-GCST90010143	phenotype	opengwas	EUR	1301	2	blood protein measurement	""	TRUE
