ebi-a-GCST005186
ebi-a-GCST005185
ebi-a-GCST90018910
ebi-a-GCST90018956
ebi-a-GCST90018975
ebi-a-GCST90018961
ebi-a-GCST000760
ebi-a-GCST000922
ebi-a-GCST90018933
ebi-a-GCST000998
ebi-a-GCST001212
ebi-a-GCST001475
ebi-a-GCST001592
ebi-a-GCST001790
ebi-a-GCST90025965
ebi-a-GCST001837
ebi-a-GCST002245
ebi-a-GCST002376
ebi-a-GCST90029007
ebi-a-GCST90029028
ebi-a-GCST003116
ebi-a-GCST90061440
ebi-a-GCST90018917
ebi-a-GCST003367
ebi-a-GCST003368
ebi-a-GCST003372
ebi-a-GCST003373
ebi-a-GCST003374
ebi-a-GCST003375
ebi-a-GCST003378
ebi-a-GCST012486
ebi-a-GCST006700
ebi-a-GCST006702
ebi-a-GCST003395
ebi-a-GCST003401
ebi-a-GCST003435
ebi-a-GCST003484
ebi-a-GCST003566
ebi-a-GCST003658
ebi-a-GCST003659
ebi-a-GCST003724
ebi-a-GCST90000515
ebi-a-GCST003739
ebi-a-GCST003740
ebi-a-GCST003766
ebi-a-GCST90018833
ebi-a-GCST003837
ebi-a-GCST003839
ebi-a-GCST004074
ebi-a-GCST004075
ebi-a-GCST004076
ebi-a-GCST004137
ebi-a-GCST006250
ebi-a-GCST004420
ebi-a-GCST90012042
ebi-a-GCST90011995
ebi-a-GCST004423
ebi-a-GCST004424
ebi-a-GCST004425
ebi-a-GCST004426
ebi-a-GCST004427
ebi-a-GCST004428
ebi-a-GCST90012023
ebi-a-GCST004430
ebi-a-GCST004431
ebi-a-GCST004432
ebi-a-GCST004433
ebi-a-GCST004434
ebi-a-GCST004435
ebi-a-GCST004436
ebi-a-GCST90000485
ebi-a-GCST90012007
ebi-a-GCST004439
ebi-a-GCST004440
ebi-a-GCST90012024
ebi-a-GCST004442
ebi-a-GCST004443
ebi-a-GCST004444
ebi-a-GCST90011994
ebi-a-GCST90012005
ebi-a-GCST90012004
ebi-a-GCST004448
ebi-a-GCST90012045
ebi-a-GCST004450
ebi-a-GCST004451
ebi-a-GCST004452
ebi-a-GCST004453
ebi-a-GCST004454
ebi-a-GCST004455
ebi-a-GCST004456
ebi-a-GCST004457
ebi-a-GCST004458
ebi-a-GCST004459
ebi-a-GCST004460
ebi-a-GCST004488
ebi-a-GCST004575
ebi-a-GCST90028996
ebi-a-GCST90002382
ebi-a-GCST90002363
ebi-a-GCST90002334
ebi-a-GCST90028999
ebi-a-GCST90002304
ebi-a-GCST90002328
ebi-a-GCST90002298
ebi-a-GCST90002400
ebi-a-GCST004608
ebi-a-GCST90002394
ebi-a-GCST90002374
ebi-a-GCST90028993
ebi-a-GCST90002386
ebi-a-GCST004613
ebi-a-GCST004614
ebi-a-GCST90002310
ebi-a-GCST90029000
ebi-a-GCST004617
ebi-a-GCST004618
ebi-a-GCST90002406
ebi-a-GCST004620
ebi-a-GCST90002369
ebi-a-GCST90025972
ebi-a-GCST004623
ebi-a-GCST004624
ebi-a-GCST90002340
ebi-a-GCST004626
ebi-a-GCST004627
ebi-a-GCST90025971
ebi-a-GCST90002351
ebi-a-GCST90028995
ebi-a-GCST90002380
ebi-a-GCST90002389
ebi-a-GCST90002399
ebi-a-GCST004634
ebi-a-GCST90027163
ebi-a-GCST90027164
ebi-a-GCST004695
ebi-a-GCST004732
ebi-a-GCST004733
ebi-a-GCST004734
ebi-a-GCST004744
ebi-a-GCST004746
ebi-a-GCST004747
ebi-a-GCST90018875
ebi-a-GCST004749
ebi-a-GCST004750
ebi-a-GCST90002244
ebi-a-GCST004940
ebi-a-GCST004941
ebi-a-GCST90018799
ebi-a-GCST005038
ebi-a-GCST006867
ebi-a-GCST005059
ebi-a-GCST90025969
ebi-a-GCST90025947
ebi-a-GCST005062
ebi-a-GCST005063
ebi-a-GCST90025980
ebi-a-GCST90025946
ebi-a-GCST90029070
ebi-a-GCST90025966
ebi-a-GCST005070
ebi-a-GCST90025989
ebi-a-GCST005072
ebi-a-GCST90025957
ebi-a-GCST005074
ebi-a-GCST005178
ebi-a-GCST005179
ebi-a-GCST005180
ebi-a-GCST005215
ebi-a-GCST005216
ebi-a-GCST005217
ebi-a-GCST005218
ebi-a-GCST005219
ebi-a-GCST005220
ebi-a-GCST005221
ebi-a-GCST005222
ebi-a-GCST005223
ebi-a-GCST005314
ebi-a-GCST005348
ebi-a-GCST005350
ebi-a-GCST005362
ebi-a-GCST90025967
ebi-a-GCST005810
ebi-a-GCST005811
ebi-a-GCST005812
ebi-a-GCST005813
ebi-a-GCST005814
ebi-a-GCST005838
ebi-a-GCST006906
ebi-a-GCST005840
ebi-a-GCST006907
ebi-a-GCST005841
ebi-a-GCST006909
ebi-a-GCST005842
ebi-a-GCST006910
ebi-a-GCST90018864
ebi-a-GCST005845
ebi-a-GCST005846
ebi-a-GCST005847
ebi-a-GCST005848
ebi-a-GCST005849
ebi-a-GCST005850
ebi-a-GCST005902
ebi-a-GCST005903
ebi-a-GCST005904
ebi-a-GCST005920
ebi-a-GCST90012878
ebi-a-GCST005923
ebi-a-GCST006414
ebi-a-GCST90018905
ebi-a-GCST006097
ebi-a-GCST006098
ebi-a-GCST006099
ebi-a-GCST006100
ebi-a-GCST90029004
ebi-a-GCST006326
ebi-a-GCST006328
ebi-a-GCST006344
ebi-a-GCST006345
ebi-a-GCST006346
ebi-a-GCST006347
ebi-a-GCST006348
ebi-a-GCST006349
ebi-a-GCST006350
ebi-a-GCST006351
ebi-a-GCST006352
ebi-a-GCST006353
ebi-a-GCST006354
ebi-a-GCST006355
ebi-a-GCST006357
ebi-a-GCST006358
ebi-a-GCST006359
ebi-a-GCST006360
ebi-a-GCST006361
ebi-a-GCST006362
ebi-a-GCST006363
ebi-a-GCST006366
ebi-a-GCST006407
ebi-a-GCST90018838
ebi-a-GCST006465
ebi-a-GCST006466
ebi-a-GCST006475
ebi-a-GCST006478
ebi-a-GCST006572
ebi-a-GCST006586
ebi-a-GCST006677
ebi-a-GCST006678
ebi-a-GCST006679
ebi-a-GCST006685
ebi-a-GCST006686
ebi-a-GCST006696
ebi-a-GCST006697
ebi-a-GCST006698
ebi-a-GCST006699
ebi-a-GCST006701
ebi-a-GCST90018795
ebi-a-GCST006940
ebi-a-GCST006941
ebi-a-GCST006942
ebi-a-GCST006943
ebi-a-GCST006944
ebi-a-GCST006945
ebi-a-GCST006946
ebi-a-GCST006947
ebi-a-GCST006948
ebi-a-GCST006950
ebi-a-GCST006951
ebi-a-GCST006952
ebi-a-GCST006956
ebi-a-GCST006980
ebi-a-GCST007090
ebi-a-GCST007091
ebi-a-GCST007092
ebi-a-GCST90029027
ebi-a-GCST007430
ebi-a-GCST90029026
ebi-a-GCST007432
ebi-a-GCST007542
ebi-a-GCST007557
ebi-a-GCST007799
ebi-a-GCST007800
ebi-a-GCST008403
ebi-a-GCST009541
ebi-a-GCST009722
ebi-a-GCST009760
ebi-a-GCST009965
ebi-a-GCST009966
ebi-a-GCST009967
ebi-a-GCST009968
ebi-a-GCST009970
ebi-a-GCST009971
ebi-a-GCST009979
ebi-a-GCST009980
ebi-a-GCST009981
ebi-a-GCST009982
ebi-a-GCST009983
ebi-a-GCST009984
ebi-a-GCST010005
ebi-a-GCST90000618
ebi-a-GCST90014023
ebi-a-GCST010723
ebi-a-GCST010775
ebi-a-GCST010776
ebi-a-GCST010780
ebi-a-GCST010777
ebi-a-GCST010779
ebi-a-GCST010778
ebi-a-GCST010781
ebi-a-GCST010782
ebi-a-GCST010783
ebi-a-GCST011073
ebi-a-GCST011075
ebi-a-GCST011080
ebi-a-GCST011081
ebi-a-GCST90018877
ebi-a-GCST011494
ebi-a-GCST011833
ebi-a-GCST011834
ebi-a-GCST011888
ebi-a-GCST012235
ebi-a-GCST012237
ebi-a-GCST012241
ebi-a-GCST012487
ebi-a-GCST90018808
ebi-a-GCST90000014
ebi-a-GCST90000015
ebi-a-GCST90000025
ebi-a-GCST90000032
ebi-a-GCST90000047
ebi-a-GCST90000050
ebi-a-GCST90000255
ebi-a-GCST90000256
ebi-a-GCST90000287
ebi-a-GCST90000288
ebi-a-GCST90000289
ebi-a-GCST90000290
ebi-a-GCST90000291
ebi-a-GCST90000292
ebi-a-GCST90000293
ebi-a-GCST90000294
ebi-a-GCST90000295
ebi-a-GCST90000437
ebi-a-GCST90000438
ebi-a-GCST90000439
ebi-a-GCST90012072
ebi-a-GCST90000442
ebi-a-GCST90000443
ebi-a-GCST90000444
ebi-a-GCST90000445
ebi-a-GCST90000446
ebi-a-GCST90000447
ebi-a-GCST90000448
ebi-a-GCST90000449
ebi-a-GCST90000450
ebi-a-GCST90000451
ebi-a-GCST90000452
ebi-a-GCST90000453
