"id","trait","note"
"UKB-b-10490","Diagnoses - secondary ICD10: Z03.8 Observation for other suspected diseases and conditions","41204#Z038: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10505","Qualifications: CSEs or equivalent","6138#4: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10537","Non-cancer illness code, self-reported: psoriasis","20002#1453: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10554","Operation code: adenoid surgery / adenoidectomy","20004#1562: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10555","Diagnoses - secondary ICD10: I50.1 Left ventricular failure","41204#I501: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10586","Treatment/medication code: calcichew 1.25g chewable tablet","20003#1140870856: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10591","Chest pain or discomfort","2335: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1061","Age high blood pressure diagnosed","2966: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10617","Operation code: mammoplasty/cosmetic operation on breast","20004#1370: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10623","Diagnoses - main ICD10: D12.5 Sigmoid colon","41202#D125: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10629","6mm asymmetry index (left)","5157: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10646","Diagnoses - main ICD10: Z09.9 Follow-up examination after unspecified treatment for other conditions","41202#Z099: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10668","Diagnoses - main ICD10: N47 Redundant prepuce, phimosis and paraphimosis","41202#N47: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10694","Diagnoses - secondary ICD10: E10.9 Without complications","41204#E109: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1070","Average weekly fortified wine intake","1608: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10712","Diagnoses - main ICD10: O70.1 Second degree perineal laceration during delivery","41202#O701: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10713","Treatment/medication code: loratadine","20003#1140862772: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10733","Operation code: fertility treatment procedures","20004#1475: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10753","Diabetes diagnosed by doctor","2443: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10756","Diagnoses - secondary ICD10: I20.0 Unstable angina","41204#I200: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10766","Treatment/medication code: tegretol 100mg tablet","20003#1140872072: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10768","Cascot confidence score","20121: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-10771","Diagnoses - main ICD10: R07.4 Chest pain, unspecified","41202#R074: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
