"id","trait","note"
"UKB-b-1418","Diagnoses - main ICD10: M75.4 Impingement syndrome of shoulder","41202#M754: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14180","Mood swings","1920: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1419","Frequency of unenthusiasm / disinterest in last 2 weeks","2060: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14206","Diagnoses - main ICD10: I20.9 Angina pectoris, unspecified","41202#I209: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14210","Non-cancer illness code, self-reported: rectal or colon adenoma/polyps","20002#1460: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14211","Non-cancer illness code, self-reported: other neurological problem","20002#1434: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14238","Mineral and other dietary supplements: None of the above","6179#100: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1425","Treatment/medication code: ginkgo forte tablet","20003#1140911734: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14254","Tinnitus severity/nuisance","4814: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14257","Diagnoses - secondary ICD10: X59.9 Unspecified place","41204#X599: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14294","Invitation to complete online 24-hour recall dietary questionnaire, acceptance","110001: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14303","Values entered","20229: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1431","Place of birth in UK - north co-ordinate","129: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14310","Leg predicted mass (right)","23114: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14315","Treatment/medication code: nicorandil","20003#1140910766: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14339","Operation code: rhinoplasty / nose surgery","20004#1557: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14356","Non-cancer illness code, self-reported: bone disorder","20002#1293: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14360","Time to answer","4288: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14371","Illnesses of siblings: Heart disease","20111#1: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14372","Operative procedures - main OPCS: G45.9 Unspecified diagnostic fibreoptic endoscopic examination of upper gastrointestinal tract","41200#G459: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14395","Medication for cholesterol, blood pressure or diabetes: Blood pressure medication","6177#2: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14396","Operative procedures - main OPCS: X99.9 Not known (procedure performed)","41200#X999: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1440","Operative procedures - secondary OPCS: H28.9 Unspecified diagnostic endoscopic examination of sigmoid colon using rigid sigmoidoscope","41210#H289: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14416","Diagnoses - main ICD10: I84.1 Internal haemorrhoids with other complications","41202#I841: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14422","Operative procedures - main OPCS: L85.1 Ligation of long saphenous vein","41200#L851: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14429","Diagnoses - secondary ICD10: K57.9 Diverticular disease of intestine, part unspecified, without perforation or abscess","41204#K579: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14436","Diagnoses - main ICD10: L72.9 Follicular cyst of skin and subcutaneous tissue, unspecified","41202#L729: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14446","Diagnoses - secondary ICD10: Z92.3 Personal history of irradiation","41204#Z923: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14449","Index of best refractometry result (left)","5276: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14452","Non-cancer illness code, self-reported: inguinal hernia","20002#1513: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14461","Maximum heart rate during fitness test","6033: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14475","Treatment/medication code: viscotears liquid eye gel","20003#1140865010: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14479","Diagnoses - main ICD10: Z09.8 Follow-up examination after other treatment for other conditions","41202#Z098: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14486","Non-cancer illness code, self-reported: osteoarthritis","20002#1465: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14516","FI1 : numeric addition test","4935: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14521","Illnesses of father: Lung cancer","20107#3: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14540","Whole body water mass","23102: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14541","Diagnoses - main ICD10: K42.9 Umbilical hernia without obstruction or gangrene","41202#K429: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14547","Operative procedures - secondary OPCS: H25.9 Unspecified diagnostic endoscopic examination of lower bowel using fibreoptic sigmoidoscope","41210#H259: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14576","Wears glasses or contact lenses","2207: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14603","Diagnoses - main ICD10: R07.3 Other chest pain","41202#R073: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14609","Treatment/medication code: metformin","20003#1140884600: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14615","Operative procedures - secondary OPCS: Z27.3 Pylorus","41210#Z273: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14624","Illness, injury, bereavement, stress in last 2 years: Marital separation/divorce","6145#5: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14632","Operative procedures - main OPCS: T20.9 Unspecified primary repair of inguinal hernia","41200#T209: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14639","Operative procedures - secondary OPCS: Y44.2 Monitoring of pressure in organ NOC","41210#Y442: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1464","Number of depression episodes","4620: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14649","Invitation to physical activity study, acceptance","110005: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14664","3mm strong meridian (left)","5135: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14670","Cylindrical power (left)","5086: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14674","Diagnoses - main ICD10: N92.6 Irregular menstruation, unspecified","41202#N926: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14695","3mm cylindrical power angle (right)","5115: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14699","Illnesses of mother: Alzheimer's disease/dementia","20110#10: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14713","Forced vital capacity (FVC), Best measure","20151: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14742","Operation code: testicular/scrotal operation","20004#1216: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14753","Diagnoses - main ICD10: T84.0 Mechanical complication of internal joint prosthesis","41202#T840: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14765","Diagnoses - main ICD10: D64.9 Anaemia, unspecified","41202#D649: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14782","Operation code: wisdom teeth surgery","20004#1480: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14796","Non-cancer illness code, self-reported: diverticular disease/diverticulitis","20002#1458: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1480","Diagnoses - secondary ICD10: R00.2 Palpitations","41204#R002: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14814","Diagnoses - main ICD10: K30 Dyspepsia","41202#K30: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14829","Diagnoses - secondary ICD10: Z90.4 Acquired absence of other parts of digestive tract","41204#Z904: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14847","Operative procedures - secondary OPCS: P27.3 Colposcopy of vagina","41210#P273: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14863","Mineral and other dietary supplements: Iron","6179#5: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14873","Operative procedures - secondary OPCS: Z48.2 Skin of neck","41210#Z482: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14885","Operative procedures - main OPCS: X70.2 Procurement of drugs for chemotherapy for neoplasm for regimens in Band 2","41200#X702: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14905","Age at bilateral oophorectomy (both ovaries removed)","3882: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14918","Illnesses of siblings: Severe depression","20111#12: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14926","Types of transport used (excluding work): Walk","6162#2: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14944","Operation code: appendicectomy","20004#1458: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14956","Type of cancer: ICD10: C54.1 Endometrium","40006#C541: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14960","Treatment/medication code: omeprazole","20003#1140865634: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14961","Other serious medical condition/disability diagnosed by doctor","2473: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-14999","Diagnoses - main ICD10: K92.2 Gastro-intestinal haemorrhage, unspecified","41202#K922: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15003","Diagnoses - main ICD10: L72.0 Epidermal cyst","41202#L720: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15021","Operative procedures - main OPCS: X72.4 Delivery of subsequent element of cycle of chemotherapy for neoplasm","41200#X724: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15025","Non-cancer illness code, self-reported: ovarian cyst or cysts","20002#1349: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15026","Diagnoses - secondary ICD10: M13.99 Arthritis, unspecified (Site unspecified)","41204#M1399: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15041","Ever had breast cancer screening / mammogram","2674: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15074","Operative procedures - main OPCS: C12.4 Curettage of lesion of eyelid","41200#C124: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1508","Operation code: knee surgery (not replacement)","20004#1496: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15084","Operative procedures - main OPCS: R24.9 All normal delivery","41200#R249: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15096","Operation code: tonsillectomy / tonsil surgery","20004#1561: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-151","Number of days/week of vigorous physical activity 10+ minutes","904: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1511","Operative procedures - main OPCS: H20.1 Fibreoptic endoscopic snare resection of lesion of colon","41200#H201: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15136","Non-cancer illness code, self-reported: uterine polyps","20002#1352: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1515","Operative procedures - main OPCS: U08.1 Computed tomography of abdomen NEC","41200#U081: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15169","Illnesses of father: None of the above (group 1)","20107#100: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15175","Vitamin and mineral supplements: Vitamin C","6155#3: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15178","Corneal resistance factor (right)","5257: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15200","Operation code: mouth/salivary gland surgery","20004#1130: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15230","Diagnoses - secondary ICD10: Z95.8 Presence of other cardiac and vascular implants and grafts","41204#Z958: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15245","Treatment/medication code: alfuzosin","20003#1140879774: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15251","Fracture resulting from simple fall","3005: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15268","ECG, number of stages in a phase","5993: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15272","Ever manic/hyper for 2 days","4642: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15297","Reason for glasses/contact lenses: Other eye condition","6147#7: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15340","Diagnoses - secondary ICD10: K29.7 Gastritis, unspecified","41204#K297: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15352","Operative procedures - main OPCS: H23.1 Endoscopic snare resection of lesion of lower bowel using fibreoptic sigmoidoscope","41200#H231: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15357","Operative procedures - main OPCS: A52.2 Therapeutic sacral epidural injection","41200#A522: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15363","Operative procedures - secondary OPCS: R32.3 Repair of obstetric laceration of vagina and floor of pelvis","41210#R323: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15378","Had other major operations","2844: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15418","Duration screen displayed","4290: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15440","Operative procedures - secondary OPCS: R15.1 Medical induction of labour","41210#R151: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15445","Treatment/medication code: insulin product","20003#1140883066: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15453","Operative procedures - secondary OPCS: Z85.6 Ankle joint","41210#Z856: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15491","Operative procedures - main OPCS: K45.3 Anastomosis of mammary artery to left anterior descending coronary artery","41200#K453: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15527","Operation code: squint correction","20004#1491: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1553","Leisure/social activities: Adult education class","6160#4: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15541","Diagnoses - secondary ICD10: E66.9 Obesity, unspecified","41204#E669: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15564","Number of other bread types with butter/margarine","101550: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1557","Diagnoses - main ICD10: M54.5 Low back pain","41202#M545: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15582","Fractured bone site(s): Ankle","6151#1: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15590","Hip circumference","49: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15591","Operative procedures - main OPCS: N17.1 Bilateral vasectomy","41200#N171: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15592","Operation code: varicose vein surgery","20004#1479: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15606","Diagnoses - main ICD10: J18.9 Pneumonia, unspecified","41202#J189: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15622","Non-cancer illness code, self-reported: tuberculosis (tb)","20002#1440: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15625","Number of symbol digit matches made correctly","20159: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15649","Treatment/medication code: aspirin 75mg tablet","20003#1140861806: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15654","Operative procedures - main OPCS: M65.3 Endoscopic resection of prostate NEC","41200#M653: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15661","Operative procedures - secondary OPCS: Y71.3 Revisional operations NOC","41210#Y713: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15666","Treatment/medication code: amitriptyline","20003#1140879616: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1567","Operative procedures - secondary OPCS: Z94.3 Left sided operation","41210#Z943: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15685","Type of cancer: ICD10: C44.5 Skin of trunk","40006#C445: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15686","Diagnoses - secondary ICD10: I20.9 Angina pectoris, unspecified","41204#I209: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15695","Ever had prostate specific antigen (PSA) test","2365: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15718","Operative procedures - main OPCS: S57.1 Debridement of skin NEC","41200#S571: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1572","Difficulty not smoking for 1 day","3476: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15730","Heel bone mineral density (BMD) T-score, automated (left)","4106: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15746","Treatment/medication code: enalapril","20003#1140888552: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15748","Diagnoses - secondary ICD10: Z95.5 Presence of coronary angioplasty implant and graft","41204#Z955: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15749","Non-cancer illness code, self-reported: transient ischaemic attack (tia)","20002#1082: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15761","Treatment/medication code: bricanyl 250mcg inhaler","20003#1140862168: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15766","Operation code: sterilisation","20004#1362: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15768","Type of special diet followed: Low calorie","20086#10: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15769","Operative procedures - secondary OPCS: X29.8 Other specified continuous Infusion of therapeutic substance","41210#X298: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15775","Type of cancer: ICD10: C18.7 Sigmoid colon","40006#C187: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15782","logMAR, final (right)","5201: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15790","Diagnoses - secondary ICD10: D64.9 Anaemia, unspecified","41204#D649: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15797","Operative procedures - main OPCS: K63.4 Coronary arteriography using two catheters","41200#K634: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15826","Illnesses of siblings: Lung cancer","20111#3: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15829","Non-cancer illness code, self-reported: heart attack/myocardial infarction","20002#1075: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15836","Diagnoses - main ICD10: R87.6 Abnormal cytological findings","41202#R876: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1585","Diagnoses - secondary ICD10: Z86.4 Personal history of psychoactive substance abuse","41204#Z864: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15851","Heel Broadband ultrasound attenuation, direct entry","3144: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15860","Operative procedures - main OPCS: H22.9 Unspecified diagnostic endoscopic examination of colon","41200#H229: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15869","Types of physical activity in last 4 weeks: None of the above","6164#100: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15892","Pulse rate","4194: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15895","Treatment/medication code: allopurinol","20003#1140875408: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15904","Non-cancer illness code, self-reported: prolapsed disc/slipped disc","20002#1312: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15914","Operation code: termination of pregnancy/top","20004#1540: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15924","3mm index of best keratometry results (left)","5292: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15932","Operative procedures - main OPCS: T52.1 Palmar fasciectomy","41200#T521: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15942","Operative procedures - main OPCS: W87.9 Unspecified diagnostic endoscopic examination of knee joint","41200#W879: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15957","Types of transport used (excluding work): Public transport","6162#3: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-15983","Diagnoses - secondary ICD10: Z51.5 Palliative care","41204#Z515: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1600","Diagnoses - secondary ICD10: G40.9 Epilepsy, unspecified","41204#G409: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16024","Diagnoses - secondary ICD10: Z51.0 Radiotherapy session","41204#Z510: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16026","Duration to complete numeric path (trail #1)","20156: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16027","Illnesses of mother: None of the above (group 2)","20110#101: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16030","Operative procedures - main OPCS: B28.3 Excision of lesion of breast NEC","41200#B283: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16039","Operative procedures - main OPCS: W90.3 Injection of therapeutic substance into joint","41200#W903: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16048","Non-cancer illness code, self-reported: pulmonary embolism +/- dvt","20002#1093: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16056","Diagnoses - secondary ICD10: F10.1 Harmful use","41204#F101: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16062","Operative procedures - secondary OPCS: Y82.2 Injection of local anaesthetic NEC","41210#Y822: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16099","Leg fat-free mass (left)","23117: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16103","Operative procedures - main OPCS: J43.9 Unspecified diagnostic endoscopic retrograde examination of bile duct and pancreatic duct","41200#J439: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16112","6mm index of best keratometry results (left)","5306: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16117","Treatment/medication code: cerazette 75micrograms tablet","20003#1141182800: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16118","Neck/shoulder pain for 3+ months","3404: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16128","Treatment/medication code: meloxicam","20003#1140926732: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16146","Treatment/medication code: nifedipine","20003#1140861088: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16156","Fasting time","74: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16187","Diagnoses - main ICD10: R55 Syncope and collapse","41202#R55: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16193","Operative procedures - main OPCS: T67.6 Primary simple repair of tendon","41200#T676: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16207","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Emphysema/chronic bronchitis","6152#6: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16209","Diagnoses - secondary ICD10: K20 Oesophagitis","41204#K20: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16217","Operation code: nasal/sinus/nose surgery","20004#1128: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16235","Reason for glasses/contact lenses: For just reading/near work as you are getting older (called 'presbyopia')","6147#3: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16240","Operative procedures - main OPCS: W40.1 Primary total prosthetic replacement of knee joint using cement","41200#W401: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16254","Pain type(s) experienced in last month: Knee pain","6159#7: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16269","Operative procedures - main OPCS: Q35.2 Endoscopic bilateral clipping of fallopian tubes","41200#Q352: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16287","Mean time to correctly identify matches","20023: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16288","Treatment/medication code: vitamin e product","20003#1140871112: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16292","Diagnoses - secondary ICD10: I51.7 Cardiomegaly","41204#I517: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16309","Non-cancer illness code, self-reported: epilepsy","20002#1264: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16311","Interval between previous point and current one in alphanumeric path (trail #2)","20155: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16313","Diagnoses - main ICD10: N23 Unspecified renal colic","41202#N23: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16315","Treatment/medication code: premarin 625micrograms tablet","20003#1140868408: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16319","Diagnoses - secondary ICD10: E86 Volume depletion","41204#E86: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16334","Illnesses of siblings: Stroke","20111#2: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16340","Operation code: hip replacement/revision","20004#1318: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16345","Cancer year/age first occurred","84: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16364","Diagnoses - secondary ICD10: Z87.1 Personal history of diseases of the digestive system","41204#Z871: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16407","Trunk fat percentage","23127: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16426","Non-cancer illness code, self-reported: breast cysts","20002#1367: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16440","Operation code: testicular hydrocoele surgery / drainage","20004#1489: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-1645","Operative procedures - main OPCS: C75.1 Insertion of prosthetic replacement for lens NEC","41200#C751: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16451","Illnesses of mother: Diabetes","20110#9: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16454","Operative procedures - secondary OPCS: G45.1 Fibreoptic endoscopic examination of upper gastrointestinal tract and biopsy of lesion of upper gastrointestinal tract","41210#G451: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
"UKB-b-16471","Diagnoses - secondary ICD10: Z85.0 Personal history of malignant neoplasm of digestive organs","41204#Z850: Output from GWAS pipeline using Phesant derived variables from UKBiobank"
